date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,ARKF,DREYFUS GOVT CASH MAN INS,,13990140.45,13990140.45,0.4
2021-09-27,ARKF,ETSY INC,ETSY,236771.0,52764417.35,1.53
2021-09-27,ARKF,FACEBOOK INC-CLASS A,FB,211993.0,74825049.28,2.17
2021-09-27,ARKF,FARFETCH LTD-CLASS A,FTCH,1113579.0,45879454.8,1.33
2021-09-27,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,503984.0,60347044.16,1.75
2021-09-27,ARKF,INTUIT INC,INTU,123676.0,71474833.92,2.07
2021-09-27,ARKF,JD.COM INC-ADR,JD,1152325.0,85249003.5,2.47
2021-09-27,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,206931.0,22969341.0,0.66
2021-09-27,ARKF,LENDINGCLUB CORP,LC,2240465.0,63113899.05,1.83
2021-09-27,ARKF,MERCADOLIBRE INC,MELI,74790.0,139828879.8,4.05
2021-09-27,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,5945176.0,120984331.6,3.5
2021-09-27,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,1792018.0,51180034.08,1.48
2021-09-27,ARKF,PAYPAL HOLDINGS INC,PYPL,578316.0,160835462.76,4.66
2021-09-27,ARKF,PINDUODUO INC-ADR,PDD,663758.0,62758318.9,1.82
2021-09-27,ARKF,PINTEREST INC- CLASS A,PINS,1619832.0,87794894.4,2.54
2021-09-27,ARKF,ROBINHOOD MARKETS INC - A,HOOD,1425436.0,64016330.76,1.85
2021-09-27,ARKF,SEA LTD-ADR,SE,520058.0,177032943.78,5.12
2021-09-27,ARKF,SHOPIFY INC - CLASS A,SHOP,150632.0,217512608.0,6.3
2021-09-27,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,625887.0,64923258.51,1.88
2021-09-27,ARKF,SNAP INC - A,SNAP,497632.0,41358195.52,1.2
2021-09-27,ARKF,SOUTH AFRICAN RAND,,136.75,9.14,0.0
2021-09-27,ARKF,SQUARE INC - A,SQ,1424213.0,373855912.5,10.82
2021-09-27,ARKF,STONECO LTD-A,STNE,1654019.0,66177300.19,1.92
2021-09-27,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,751575.0,67626718.5,1.96
2021-09-27,ARKF,TELADOC HEALTH INC,TDOC,673004.0,90788239.6,2.63
2021-09-27,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,738394.0,43026218.38,1.25
2021-09-27,ARKF,TOAST INC-CLASS A,TOST,14901.0,831177.78,0.02
2021-09-27,ARKF,TWILIO INC - A,TWLO,356392.0,122317298.32,3.54
2021-09-27,ARKF,UIPATH INC - CLASS A,PATH,1680515.0,88563140.5,2.56
2021-09-27,ARKF,WORKDAY INC-CLASS A,WDAY,247578.0,66457362.54,1.92
2021-09-27,ARKF,YEAHKA LTD,9923,37200.0,122080.79,0.0
2021-09-27,ARKF,Z HOLDINGS CORP,4689,11191876.0,76532384.27,2.22
2021-09-27,ARKF,ZILLOW GROUP INC - C,Z,1988958.0,179821692.78,5.2
2021-09-27,ARKX,AEROVIRONMENT INC,AVAV,190701.0,16060838.22,2.84
2021-09-27,ARKX,AIRBUS SE,AIR,43493.0,5880600.12,1.04
2021-09-27,ARKX,ALPHABET INC-CL C,GOOG,3991.0,11384966.06,2.01
2021-09-27,ARKX,AMAZON.COM INC,AMZN,4684.0,16045135.68,2.84
2021-09-27,ARKX,ANSYS INC,ANSS,16532.0,5977144.6,1.06
2021-09-27,ARKX,ARCHER AVIATION INC,ACHR,923739.0,8572297.92,1.51
2021-09-27,ARKX,BLADE AIR MOBILITY INC,BLDE,1554732.0,18081533.16,3.19
2021-09-27,ARKX,BOEING CO/THE,BA,30281.0,6703910.59,1.18
2021-09-27,ARKX,DASSAULT SYSTEMES SE,DSY FP,300462.0,17443341.65,3.08
2021-09-27,ARKX,DEERE & CO,DE,32802.0,11456098.5,2.02
2021-09-27,ARKX,DREYFUS GOVT CASH MAN INS,,1901594.66,1901594.66,0.34
2021-09-27,ARKX,ELBIT SYSTEMS LTD,ESLT,59023.0,8688775.83,1.54
2021-09-27,ARKX,GARMIN LTD,GRMN U,32382.0,5589780.84,0.99
2021-09-27,ARKX,HEICO CORP,HEI,50810.0,6844107.0,1.21
2021-09-27,ARKX,HONEYWELL INTERNATIONAL INC,HON,28743.0,6300178.17,1.11
2021-09-27,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,689904.0,29721064.32,5.25
2021-09-27,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,781835.0,7802713.3,1.38
2021-09-27,ARKX,JD LOGISTICS INC,2618,5417313.0,22022728.98,3.89
2021-09-27,ARKX,JOBY AVIATION INC,JOBY,1101104.0,11341371.2,2.0
2021-09-27,ARKX,KOMATSU LTD,6301,1028088.0,25363402.49,4.48
2021-09-27,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1525914.0,34729802.64,6.14
2021-09-27,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,139076.0,31082095.24,5.49
